id,preusuel,annais,nombre,longevity,peak_year,fy
AARON,AARON,2010,1587,11,2019,0
AARON,AARON,2011,1751,11,2019,0
AARON,AARON,2012,1710,11,2019,0
AARON,AARON,2013,1900,11,2019,0
AARON,AARON,2014,2050,11,2019,0
AARON,AARON,2015,2151,11,2019,0
AARON,AARON,2016,2363,11,2019,0
AARON,AARON,2017,2372,11,2019,0
AARON,AARON,2018,2239,11,2019,0
AARON,AARON,2019,2436,11,2019,0
AARON,AARON,2020,2310,11,2019,0
ADAM,ADAM,2005,1857,16,2016,0
ADAM,ADAM,2006,2326,16,2016,0
ADAM,ADAM,2007,2749,16,2016,0
ADAM,ADAM,2008,3119,16,2016,0
ADAM,ADAM,2009,3252,16,2016,0
ADAM,ADAM,2010,3409,16,2016,0
ADAM,ADAM,2011,3648,16,2016,0
ADAM,ADAM,2012,4139,16,2016,0
ADAM,ADAM,2013,4380,16,2016,0
ADAM,ADAM,2014,4549,16,2016,0
ADAM,ADAM,2015,4525,16,2016,0
ADAM,ADAM,2016,4650,16,2016,0
ADAM,ADAM,2017,4165,16,2016,0
ADAM,ADAM,2018,3885,16,2016,0
ADAM,ADAM,2019,3661,16,2016,0
ADAM,ADAM,2020,3376,16,2016,0
ADELINE,ADELINE,1980,2437,15,1991,100
ADELINE,ADELINE,1981,2397,15,1991,100
ADELINE,ADELINE,1982,2191,15,1991,100
ADELINE,ADELINE,1983,1944,15,1991,100
ADELINE,ADELINE,1984,1988,15,1991,100
ADELINE,ADELINE,1985,2019,15,1991,100
ADELINE,ADELINE,1986,2101,15,1991,100
ADELINE,ADELINE,1987,1893,15,1991,100
ADELINE,ADELINE,1988,1805,15,1991,100
ADELINE,ADELINE,1989,1805,15,1991,100
ADELINE,ADELINE,1990,2580,15,1991,100
ADELINE,ADELINE,1991,3214,15,1991,100
ADELINE,ADELINE,1992,2626,15,1991,100
ADELINE,ADELINE,1993,1938,15,1991,100
ADELINE,ADELINE,1994,1913,15,1991,100
ADRIEN,ADRIEN,1900,835,42,1991,0
ADRIEN,ADRIEN,1901,918,42,1991,0
ADRIEN,ADRIEN,1902,958,42,1991,0
ADRIEN,ADRIEN,1903,970,42,1991,0
ADRIEN,ADRIEN,1904,1003,42,1991,0
ADRIEN,ADRIEN,1905,972,42,1991,0
ADRIEN,ADRIEN,1906,1028,42,1991,0
ADRIEN,ADRIEN,1907,1019,42,1991,0
ADRIEN,ADRIEN,1908,1049,42,1991,0
ADRIEN,ADRIEN,1909,1036,42,1991,0
ADRIEN,ADRIEN,1910,1082,42,1991,0
ADRIEN,ADRIEN,1912,1093,42,1991,0
ADRIEN,ADRIEN,1913,1006,42,1991,0
ADRIEN,ADRIEN,1914,965,42,1991,0
ADRIEN,ADRIEN,1915,658,42,1991,0
ADRIEN,ADRIEN,1917,528,42,1991,0
ADRIEN,ADRIEN,1984,2223,42,1991,0
ADRIEN,ADRIEN,1985,3030,42,1991,0
ADRIEN,ADRIEN,1986,3679,42,1991,0
ADRIEN,ADRIEN,1987,3907,42,1991,0
ADRIEN,ADRIEN,1988,4198,42,1991,0
ADRIEN,ADRIEN,1989,4170,42,1991,0
ADRIEN,ADRIEN,1990,4219,42,1991,0
ADRIEN,ADRIEN,1991,4353,42,1991,0
ADRIEN,ADRIEN,1992,3849,42,1991,0
ADRIEN,ADRIEN,1993,3481,42,1991,0
ADRIEN,ADRIEN,1994,3915,42,1991,0
ADRIEN,ADRIEN,1995,3911,42,1991,0
ADRIEN,ADRIEN,1996,3623,42,1991,0
ADRIEN,ADRIEN,1997,3910,42,1991,0
ADRIEN,ADRIEN,1998,3619,42,1991,0
ADRIEN,ADRIEN,1999,3644,42,1991,0
ADRIEN,ADRIEN,2000,3633,42,1991,0
ADRIEN,ADRIEN,2001,3395,42,1991,0
ADRIEN,ADRIEN,2002,2854,42,1991,0
ADRIEN,ADRIEN,2003,2400,42,1991,0
ADRIEN,ADRIEN,2004,2344,42,1991,0
ADRIEN,ADRIEN,2005,2157,42,1991,0
ADRIEN,ADRIEN,2006,2018,42,1991,0
ADRIEN,ADRIEN,2007,1756,42,1991,0
ADRIEN,ADRIEN,2008,1568,42,1991,0
ADRIEN,ADRIEN,2009,1492,42,1991,0
ADRIENNE,ADRIENNE,1900,1013,19,1910,100
ADRIENNE,ADRIENNE,1901,1074,19,1910,100
ADRIENNE,ADRIENNE,1902,1122,19,1910,100
ADRIENNE,ADRIENNE,1903,1180,19,1910,100
ADRIENNE,ADRIENNE,1904,1089,19,1910,100
ADRIENNE,ADRIENNE,1905,1163,19,1910,100
ADRIENNE,ADRIENNE,1906,1172,19,1910,100
ADRIENNE,ADRIENNE,1907,1127,19,1910,100
ADRIENNE,ADRIENNE,1908,1183,19,1910,100
ADRIENNE,ADRIENNE,1909,1180,19,1910,100
ADRIENNE,ADRIENNE,1910,1218,19,1910,100
ADRIENNE,ADRIENNE,1911,1104,19,1910,100
ADRIENNE,ADRIENNE,1912,1087,19,1910,100
ADRIENNE,ADRIENNE,1913,1154,19,1910,100
ADRIENNE,ADRIENNE,1914,1074,19,1910,100
ADRIENNE,ADRIENNE,1915,671,19,1910,100
