preusuel,total,longevity,peak_year,id
MARIE,2256072,115,1901,MARIE
JEAN,1913130,90,1946,JEAN
PIERRE,891794,109,1930,PIERRE
MICHEL,818025,74,1947,MICHEL
ANDRÉ,709633,66,1920,ANDRÉ
JEANNE,556903,70,1920,JEANNE
PHILIPPE,535355,48,1963,PHILIPPE
LOUIS,523576,81,1920,LOUIS
RENÉ,514560,61,1920,RENÉ
ALAIN,504106,41,1950,ALAIN
JACQUES,480208,69,1946,JACQUES
BERNARD,466906,60,1947,BERNARD
MARCEL,466167,57,1920,MARCEL
CLAUDE,463020,52,1936,CLAUDE
DANIEL,432620,52,1947,DANIEL
ROGER,421888,59,1925,ROGER
PAUL,420322,84,1920,PAUL
ROBERT,417053,63,1926,ROBERT
DOMINIQUE,404510,35,1956,DOMINIQUE
GEORGES,402851,61,1920,GEORGES
HENRI,402547,56,1920,HENRI
CHRISTIAN,402461,47,1949,CHRISTIAN
NICOLAS,402354,44,1980,NICOLAS
FRANÇOISE,399509,72,1949,FRANÇOISE
MONIQUE,398089,43,1946,MONIQUE
FRANÇOIS,397253,94,1963,FRANÇOIS
PATRICK,392940,34,1956,PATRICK
CATHERINE,391620,53,1963,CATHERINE
NATHALIE,379723,27,1966,NATHALIE
GÉRARD,377108,45,1949,GÉRARD
ISABELLE,374136,32,1965,ISABELLE
JOSEPH,373748,62,1908,JOSEPH
CHRISTOPHE,373493,33,1969,CHRISTOPHE
JACQUELINE,370277,49,1946,JACQUELINE
ANNE,362723,88,1971,ANNE
SYLVIE,361462,31,1964,SYLVIE
JULIEN,341906,61,1985,JULIEN
MAURICE,335579,55,1920,MAURICE
LAURENT,324822,32,1970,LAURENT
FRÉDÉRIC,324017,33,1973,FRÉDÉRIC
MARTINE,317476,28,1954,MARTINE
ERIC,315429,30,1965,ERIC
DAVID,311206,33,1972,DAVID
STÉPHANE,305590,31,1971,STÉPHANE
PASCAL,304422,28,1962,PASCAL
MADELEINE,301893,50,1920,MADELEINE
SÉBASTIEN,301447,31,1977,SÉBASTIEN
ALEXANDRE,299090,63,1995,ALEXANDRE
NICOLE,291222,37,1947,NICOLE
THIERRY,287610,26,1964,THIERRY
SUZANNE,286525,49,1920,SUZANNE
HÉLÈNE,279731,91,1920,HÉLÈNE
CHRISTINE,277495,30,1963,CHRISTINE
ANTOINE,277322,86,1996,ANTOINE
THOMAS,277264,44,2000,THOMAS
OLIVIER,275990,33,1971,OLIVIER
CAMILLE,275499,68,1998,CAMILLE
RAYMOND,270833,54,1928,RAYMOND
LOUISE,268583,66,1901,LOUISE
MARGUERITE,268090,45,1906,MARGUERITE
GUY,263420,49,1947,GUY
DENISE,261572,55,1927,DENISE
CHRISTIANE,257396,45,1947,CHRISTIANE
YVONNE,255292,45,1920,YVONNE
VALÉRIE,249941,22,1969,VALÉRIE
SOPHIE,242842,37,1971,SOPHIE
CHARLES,239525,46,1920,CHARLES
SANDRINE,238941,24,1971,SANDRINE
STÉPHANIE,235997,26,1974,STÉPHANIE
MARC,235140,58,1959,MARC
CÉLINE,234706,32,1979,CÉLINE
DIDIER,234474,27,1958,DIDIER
VÉRONIQUE,233338,26,1963,VÉRONIQUE
CHANTAL,230288,30,1954,CHANTAL
VINCENT,229231,44,1981,VINCENT
MARCELLE,227909,46,1920,MARCELLE
YVES,226788,62,1947,YVES
RENÉE,220374,50,1920,RENÉE
GUILLAUME,219754,34,1984,GUILLAUME
SIMONE,218023,48,1924,SIMONE
MAXIME,217463,39,1992,MAXIME
BRUNO,217397,28,1963,BRUNO
JEANNINE,216890,34,1930,JEANNINE
SERGE,216647,46,1952,SERGE
ANDRÉE,213930,51,1920,ANDRÉE
LUCIEN,212894,48,1920,LUCIEN
JULIE,211992,39,1987,JULIE
PAULETTE,211736,43,1921,PAULETTE
JEAN-PIERRE,211450,35,1947,JEAN-PIERRE
GERMAINE,209494,40,1902,GERMAINE
